sac_ri		
wateryear	month	SRI
1922	10	5890
1922	11	6587
1922	12	12923
1922	1	11775
1922	2	26688
1922	3	29206
1922	4	42383
1922	5	68600
1922	6	38756
1922	7	10833
1922	8	6183
1922	9	5160
1923	10	6235
1923	11	8028
1923	12	23074
1923	1	18589
1923	2	13157
1923	3	19356
1923	4	36284
1923	5	32065
1923	6	16231
1923	7	8695
1923	8	5328
1923	9	5116
1924	10	6052
1924	11	5334
1924	12	6544
1924	1	6717
1924	2	14100
1924	3	8176
1924	4	10344
1924	5	7818
1924	6	4463
1924	7	4054
1924	8	3893
1924	9	3824
1925	10	5472
1925	11	9247
1925	12	10720
1925	1	10786
1925	2	52287
1925	3	26037
1925	4	38154
1925	5	31544
1925	6	14279
1925	7	6860
1925	8	4988
1925	9	4783
1926	10	6065
1926	11	7029
1926	12	8379
1926	1	8293
1926	2	35080
1926	3	22093
1926	4	37682
1926	5	17125
1926	6	7631
1926	7	5107
1926	8	4276
1926	9	4198
1927	10	5379
1927	11	25582
1927	12	22049
1927	1	24590
1927	2	67461
1927	3	45087
1927	4	53247
1927	5	41274
1927	6	24818
1927	7	9241
1927	8	5707
1927	9	5147
1928	10	5556
1928	11	16296
1928	12	12824
1928	1	15938
1928	2	21045
1928	3	72600
1928	4	40951
1928	5	27057
1928	6	9683
1928	7	6559
1928	8	4941
1928	9	4552
1929	10	5094
1929	11	6413
1929	12	7768
1929	1	7390
1929	2	12015
1929	3	16746
1929	4	17499
1929	5	21881
1929	6	11466
1929	7	5591
1929	8	3985
1929	9	4269
1930	10	4435
1930	11	4220
1930	12	34334
1930	1	16947
1930	2	21728
1930	3	35148
1930	4	28835
1930	5	22251
1930	6	11303
1930	7	5993
1930	8	4681
1930	9	4459
1931	10	4665
1931	11	6047
1931	12	5232
1931	1	8750
1931	2	8919
1931	3	16782
1931	4	12181
1931	5	9519
1931	6	5632
1931	7	4129
1931	8	3692
1931	9	3609
1932	10	4936
1932	11	5251
1932	12	16671
1932	1	14491
1932	2	16914
1932	3	31067
1932	4	29063
1932	5	39224
1932	6	20964
1932	7	7524
1932	8	4707
1932	9	4067
1933	10	4331
1933	11	4596
1933	12	5465
1933	1	7348
1933	2	6357
1933	3	24128
1933	4	20915
1933	5	24519
1933	6	18768
1933	7	6181
1933	8	4193
1933	9	3949
1934	10	4732
1934	11	4871
1934	12	12350
1934	1	16979
1934	2	18296
1934	3	23696
1934	4	15548
1934	5	10073
1934	6	6030
1934	7	4440
1934	8	3757
1934	9	3614
1935	10	4265
1935	11	9243
1935	12	8445
1935	1	17418
1935	2	16963
1935	3	24452
1935	4	66355
1935	5	46518
1935	6	21305
1935	7	7853
1935	8	5069
1935	9	4407
1936	10	5195
1936	11	5182
1936	12	6552
1936	1	36121
1936	2	53783
1936	3	33484
1936	4	38317
1936	5	32115
1936	6	18801
1936	7	7889
1936	8	4915
1936	9	4487
1937	10	4405
1937	11	4300
1937	12	5181
1937	1	5647
1937	2	17727
1937	3	36840
1937	4	40724
1937	5	43543
1937	6	17467
1937	7	7305
1937	8	4799
1937	9	4154
1938	10	5119
1938	11	19801
1938	12	53122
1938	1	19565
1938	2	52661
1938	3	85816
1938	4	66859
1938	5	76264
1938	6	39488
1938	7	14117
1938	8	7665
1938	9	6240
1939	10	7421
1939	11	7663
1939	12	9771
1939	1	9382
1939	2	8997
1939	3	24596
1939	4	21061
1939	5	12688
1939	6	6793
1939	7	5018
1939	8	4139
1939	9	4242
1940	10	5201
1940	11	4794
1940	12	8828
1940	1	41212
1940	2	66306
1940	3	77155
1940	4	49392
1940	5	30721
1940	6	13401
1940	7	7127
1940	8	5456
1940	9	5206
1941	10	6085
1941	11	8368
1941	12	37392
1941	1	45765
1941	2	54255
1941	3	54414
1941	4	47554
1941	5	53845
1941	6	23582
1941	7	12428
1941	8	7462
1941	9	6522
1942	10	6668
1942	11	8460
1942	12	43039
1942	1	50091
1942	2	59443
1942	3	28107
1942	4	50807
1942	5	48568
1942	6	33942
1942	7	13764
1942	8	7779
1942	9	6593
1943	10	6736
1943	11	13125
1943	12	23612
1943	1	51458
1943	2	32315
1943	3	66676
1943	4	44318
1943	5	30620
1943	6	18329
1943	7	9715
1943	8	6762
1943	9	5892
1944	10	6223
1944	11	6741
1944	12	7331
1944	1	9190
1944	2	16442
1944	3	23661
1944	4	21338
1944	5	31158
1944	6	14979
1944	7	8863
1944	8	5552
1944	9	4787
1945	10	5679
1945	11	13352
1945	12	17881
1945	1	13095
1945	2	44204
1945	3	24578
1945	4	28201
1945	5	35544
1945	6	17841
1945	7	8275
1945	8	5743
1945	9	5072
1946	10	7976
1946	11	15515
1946	12	53895
1946	1	29713
1946	2	15824
1946	3	29800
1946	4	35552
1946	5	34065
1946	6	14100
1946	7	8094
1946	8	6070
1946	9	5204
1947	10	5788
1947	11	11103
1947	12	11892
1947	1	7395
1947	2	18735
1947	3	33077
1947	4	23289
1947	5	15545
1947	6	11804
1947	7	6084
1947	8	5057
1947	9	4619
1948	10	8939
1948	11	7401
1948	12	6774
1948	1	24802
1948	2	9002
1948	3	18741
1948	4	50482
1948	5	46703
1948	6	29486
1948	7	9860
1948	8	5928
1948	9	5196
1949	10	5573
1949	11	6918
1949	12	8737
1949	1	6658
1949	2	11069
1949	3	39397
1949	4	35389
1949	5	31779
1949	6	11449
1949	7	5966
1949	8	4887
1949	9	4337
1950	10	4647
1950	11	5580
1950	12	5805
1950	1	21923
1950	2	29437
1950	3	33491
1950	4	40642
1950	5	36518
1950	6	18020
1950	7	7766
1950	8	5318
1950	9	4884
1951	10	13712
1951	11	49148
1951	12	65340
1951	1	38772
1951	2	41521
1951	3	34229
1951	4	30803
1951	5	31376
1951	6	12376
1951	7	6979
1951	8	5713
1951	9	5071
1952	10	6988
1952	11	12664
1952	12	39241
1952	1	34869
1952	2	48693
1952	3	42698
1952	4	75430
1952	5	76902
1952	6	40171
1952	7	18453
1952	8	8280
1952	9	6675
1953	10	6862
1953	11	6626
1953	12	19138
1953	1	64306
1953	2	18638
1953	3	27657
1953	4	36072
1953	5	39426
1953	6	33812
1953	7	14218
1953	8	7445
1953	9	6679
1954	10	6763
1954	11	11477
1954	12	10848
1954	1	25208
1954	2	32559
1954	3	46077
1954	4	50124
1954	5	28973
1954	6	12614
1954	7	7875
1954	8	6375
1954	9	5868
1955	10	6023
1955	11	9216
1955	12	15814
1955	1	12354
1955	2	10926
1955	3	16710
1955	4	21826
1955	5	32199
1955	6	14670
1955	7	6900
1955	8	5164
1955	9	5077
1956	10	5218
1956	11	7704
1956	12	105203
1956	1	78813
1956	2	41976
1956	3	38195
1956	4	38593
1956	5	52433
1956	6	26379
1956	7	12599
1956	8	7273
1956	9	6530
1957	10	8525
1957	11	7709
1957	12	8043
1957	1	9602
1957	2	34121
1957	3	45717
1957	4	26314
1957	5	40317
1957	6	18426
1957	7	8235
1957	8	5991
1957	9	6195
1958	10	10251
1958	11	10561
1958	12	20367
1958	1	26412
1958	2	84293
1958	3	56827
1958	4	64371
1958	5	65844
1958	6	35048
1958	7	14085
1958	8	8299
1958	9	6883
1959	10	7023
1959	11	7094
1959	12	8016
1959	1	27924
1959	2	28071
1959	3	25640
1959	4	23712
1959	5	17579
1959	6	9512
1959	7	6610
1959	8	5191
1959	9	6273
1960	10	5610
1960	11	5290
1960	12	6521
1960	1	11241
1960	2	37373
1960	3	43098
1960	4	26786
1960	5	23158
1960	6	12864
1960	7	6512
1960	8	5021
1960	9	4732
1961	10	5411
1961	11	9181
1961	12	15839
1961	1	10262
1961	2	24932
1961	3	25406
1961	4	21858
1961	5	23494
1961	6	12344
1961	7	6037
1961	8	5149
1961	9	4616
1962	10	5349
1962	11	7502
1962	12	13839
1962	1	9073
1962	2	45505
1962	3	28593
1962	4	40122
1962	5	29948
1962	6	17288
1962	7	7235
1962	8	5295
1962	9	4569
1963	10	38619
1963	11	10090
1963	12	25965
1963	1	20264
1963	2	53588
1963	3	27063
1963	4	66648
1963	5	50803
1963	6	18605
1963	7	9223
1963	8	6229
1963	9	5886
1964	10	7275
1964	11	19663
1964	12	10310
1964	1	18687
1964	2	12376
1964	3	14673
1964	4	21451
1964	5	23830
1964	6	14296
1964	7	6744
1964	8	4923
1964	9	4295
1965	10	5158
1965	11	9776
1965	12	108228
1965	1	64582
1965	2	26217
1965	3	24884
1965	4	50726
1965	5	36367
1965	6	19841
1965	7	10048
1965	8	7548
1965	9	5292
1966	10	6263
1966	11	14470
1966	12	11156
1966	1	19939
1966	2	16480
1966	3	32195
1966	4	35552
1966	5	22755
1966	6	8455
1966	7	5983
1966	8	4921
1966	9	4614
1967	10	4973
1967	11	16555
1967	12	32603
1967	1	37373
1967	2	29827
1967	3	51101
1967	4	38105
1967	5	62937
1967	6	45099
1967	7	16738
1967	8	7714
1967	9	5978
1968	10	7166
1968	11	7271
1968	12	10692
1968	1	16556
1968	2	44188
1968	3	32945
1968	4	23452
1968	5	20419
1968	6	9878
1968	7	6337
1968	8	6244
1968	9	5126
1969	10	6880
1969	11	10210
1969	12	18368
1969	1	82992
1969	2	45895
1969	3	38083
1969	4	56532
1969	5	64920
1969	6	29616
1969	7	10793
1969	8	7167
1969	9	6385
1970	10	7473
1970	11	7862
1970	12	41711
1970	1	129620
1970	2	34381
1970	3	38137
1970	4	19191
1970	5	22956
1970	6	14393
1970	7	7885
1970	8	5972
1970	9	5432
1971	10	6287
1971	11	22167
1971	12	37258
1971	1	34039
1971	2	21939
1971	3	51101
1971	4	40496
1971	5	48182
1971	6	32169
1971	7	12201
1971	8	6634
1971	9	6043
1972	10	7393
1972	11	8538
1972	12	13881
1972	1	17158
1972	2	21354
1972	3	42924
1972	4	30136
1972	5	25108
1972	6	13173
1972	7	6875
1972	8	5450
1972	9	5764
1973	10	8052
1973	11	14527
1973	12	22133
1973	1	46741
1973	2	38609
1973	3	39397
1973	4	32202
1973	5	40283
1973	6	14605
1973	7	7312
1973	8	5705
1973	9	5752
1974	10	8675
1974	11	58532
1974	12	44266
1974	1	82862
1974	2	24411
1974	3	82557
1974	4	56255
1974	5	43459
1974	6	27127
1974	7	14083
1974	8	7580
1974	9	6421
1975	10	7085
1975	11	7992
1975	12	10199
1975	1	11506
1975	2	31242
1975	3	55999
1975	4	32673
1975	5	55492
1975	6	33682
1975	7	11623
1975	8	7572
1975	9	7014
1976	10	10599
1976	11	10404
1976	12	9460
1976	1	8197
1976	2	11157
1976	3	16411
1976	4	14328
1976	5	12974
1976	6	6346
1976	7	5441
1976	8	6253
1976	9	5198
1977	10	5190
1977	11	5665
1977	12	5357
1977	1	6081
1977	2	5996
1977	3	7435
1977	4	7271
1977	5	9147
1977	6	6149
1977	7	4694
1977	8	4238
1977	9	4861
1978	10	4845
1978	11	6048
1978	12	21982
1978	1	67266
1978	2	36528
1978	3	61994
1978	4	43147
1978	5	40132
1978	6	24102
1978	7	10401
1978	8	5663
1978	9	6673
1979	10	5123
1979	11	6564
1979	12	6598
1979	1	14588
1979	2	19516
1979	3	33329
1979	4	26461
1979	5	39543
1979	6	12165
1979	7	6766
1979	8	5146
1979	9	4941
1980	10	8193
1980	11	10111
1980	12	12816
1980	1	78471
1980	2	62842
1980	3	39151
1980	4	30705
1980	5	31494
1980	6	17499
1980	7	10186
1980	8	5219
1980	9	6206
1981	10	5865
1981	11	5728
1981	12	11488
1981	1	15206
1981	2	19890
1981	3	30016
1981	4	22200
1981	5	16621
1981	6	6980
1981	7	4901
1981	8	4136
1981	9	4176
1982	10	7736
1982	11	55849
1982	12	71508
1982	1	37308
1982	2	62696
1982	3	56863
1982	4	85627
1982	5	52853
1982	6	24476
1982	7	12386
1982	8	7164
1982	9	7192
1983	10	13276
1983	11	19061
1983	12	40014
1983	1	42204
1983	2	67331
1983	3	123089
1983	4	51767
1983	5	69676
1983	6	55605
1983	7	23477
1983	8	10496
1983	9	8384
1984	10	9322
1984	11	42952
1984	12	77003
1984	1	32088
1984	2	26087
1984	3	38995
1984	4	26932
1984	5	31830
1984	6	17028
1984	7	8488
1984	8	6167
1984	9	6320
1985	10	7936
1985	11	20655
1985	12	13991
1985	1	9797
1985	2	13889
1985	3	19897
1985	4	28494
1985	5	18016
1985	6	8137
1985	7	5853
1985	8	5057
1985	9	5887
1986	10	6695
1986	11	8306
1986	12	14066
1986	1	30689
1986	2	135149
1986	3	84214
1986	4	30543
1986	5	27208
1986	6	15401
1986	7	7962
1986	8	6126
1986	9	7512
1987	10	7485
1987	11	6053
