salinity_std_emt_new_daily			
month	day	wyt_SAC	ECstandard
7	1	1	0.45
7	2	1	0.45
7	3	1	0.45
7	4	1	0.45
7	5	1	0.45
7	6	1	0.45
7	7	1	0.45
7	8	1	0.45
7	9	1	0.45
7	10	1	0.45
7	11	1	0.45
7	12	1	0.45
7	13	1	0.45
7	14	1	0.45
7	15	1	0.45
7	16	1	0.45
7	17	1	0.45
7	18	1	0.45
7	19	1	0.45
7	20	1	0.45
7	21	1	0.45
7	22	1	0.45
7	23	1	0.45
7	24	1	0.45
7	25	1	0.45
7	26	1	0.45
7	27	1	0.45
7	28	1	0.45
7	29	1	0.45
7	30	1	0.45
8	1	1	0.45
8	2	1	0.45
8	3	1	0.45
8	4	1	0.45
8	5	1	0.45
8	6	1	0.45
8	7	1	0.45
8	8	1	0.45
8	9	1	0.45
8	10	1	0.45
8	11	1	0.45
8	12	1	0.45
8	13	1	0.45
8	14	1	0.45
8	15	1	0.45
8	16	1	0.45
8	17	1	0.45
8	18	1	0.45
8	19	1	0.45
8	20	1	0.45
8	21	1	0.45
8	22	1	0.45
8	23	1	0.45
8	24	1	0.45
8	25	1	0.45
8	26	1	0.45
8	27	1	0.45
8	28	1	0.45
8	29	1	0.45
8	30	1	0.45
8	31	1	0.45
9	1	1	0.45
9	2	1	0.45
9	3	1	0.45
9	4	1	0.45
9	5	1	0.45
9	6	1	0.45
9	7	1	0.45
9	8	1	0.45
9	9	1	0.45
9	10	1	0.45
9	11	1	0.45
9	12	1	0.45
9	13	1	0.45
9	14	1	0.45
9	15	1	0.45
9	16	1	0.45
9	17	1	0.45
9	18	1	0.45
9	19	1	0.45
9	20	1	0.45
9	21	1	0.45
9	22	1	0.45
9	23	1	0.45
9	24	1	0.45
9	25	1	0.45
9	26	1	0.45
9	27	1	0.45
9	28	1	0.45
9	29	1	0.45
9	30	1	0.45
10	1	1	0.45
10	2	1	0.45
10	3	1	0.45
10	4	1	0.45
10	5	1	0.45
10	6	1	0.45
10	7	1	0.45
10	8	1	0.45
10	9	1	0.45
10	10	1	0.45
10	11	1	0.45
10	12	1	0.45
10	13	1	0.45
10	14	1	0.45
10	15	1	0.45
10	16	1	0.45
10	17	1	0.45
10	18	1	0.45
10	19	1	0.45
10	20	1	0.45
10	21	1	0.45
10	22	1	0.45
10	23	1	0.45
10	24	1	0.45
10	25	1	0.45
10	26	1	0.45
10	27	1	0.45
10	28	1	0.45
10	29	1	0.45
10	30	1	0.45
10	31	1	0.45
11	1	1	0.45
11	2	1	0.45
11	3	1	0.45
11	4	1	0.45
11	5	1	0.45
11	6	1	0.45
11	7	1	0.45
11	8	1	0.45
11	9	1	0.45
11	10	1	0.45
11	11	1	0.45
11	12	1	0.45
11	13	1	0.45
11	14	1	0.45
11	15	1	0.45
11	16	1	99
11	17	1	99
11	18	1	99
11	19	1	99
11	20	1	99
11	21	1	99
11	22	1	99
11	23	1	99
11	24	1	99
11	25	1	99
11	26	1	99
11	27	1	99
11	28	1	99
11	29	1	99
11	30	1	99
11	31	1	99
7	1	2	0.45
7	2	2	0.45
7	3	2	0.45
7	4	2	0.45
7	5	2	0.45
7	6	2	0.45
7	7	2	0.45
7	8	2	0.45
7	9	2	0.45
7	10	2	0.45
7	11	2	0.45
7	12	2	0.45
7	13	2	0.45
7	14	2	0.45
7	15	2	0.45
7	16	2	0.45
7	17	2	0.45
7	18	2	0.45
7	19	2	0.45
7	20	2	0.45
7	21	2	0.45
7	22	2	0.45
7	23	2	0.45
7	24	2	0.45
7	25	2	0.45
7	26	2	0.45
7	27	2	0.45
7	28	2	0.45
7	29	2	0.45
7	30	2	0.45
8	1	2	0.45
8	2	2	0.45
8	3	2	0.45
8	4	2	0.45
8	5	2	0.45
8	6	2	0.45
8	7	2	0.45
8	8	2	0.45
8	9	2	0.45
8	10	2	0.45
8	11	2	0.45
8	12	2	0.45
8	13	2	0.45
8	14	2	0.45
8	15	2	0.45
8	16	2	0.45
8	17	2	0.45
8	18	2	0.45
8	19	2	0.45
8	20	2	0.45
8	21	2	0.45
8	22	2	0.45
8	23	2	0.45
8	24	2	0.45
8	25	2	0.45
8	26	2	0.45
8	27	2	0.45
8	28	2	0.45
8	29	2	0.45
8	30	2	0.45
8	31	2	0.45
9	1	2	0.45
9	2	2	0.45
9	3	2	0.45
9	4	2	0.45
9	5	2	0.45
9	6	2	0.45
9	7	2	0.45
9	8	2	0.45
9	9	2	0.45
9	10	2	0.45
9	11	2	0.45
9	12	2	0.45
9	13	2	0.45
9	14	2	0.45
9	15	2	0.45
9	16	2	0.45
9	17	2	0.45
9	18	2	0.45
9	19	2	0.45
9	20	2	0.45
9	21	2	0.45
9	22	2	0.45
9	23	2	0.45
9	24	2	0.45
9	25	2	0.45
9	26	2	0.45
9	27	2	0.45
9	28	2	0.45
9	29	2	0.45
9	30	2	0.45
10	1	2	0.45
10	2	2	0.63
10	3	2	0.63
10	4	2	0.63
10	5	2	0.63
10	6	2	0.63
10	7	2	0.63
10	8	2	0.63
10	9	2	0.63
10	10	2	0.63
10	11	2	0.63
10	12	2	0.63
10	13	2	0.63
10	14	2	0.63
10	15	2	0.63
10	16	2	0.63
10	17	2	0.63
10	18	2	0.63
10	19	2	0.63
10	20	2	0.63
10	21	2	0.63
10	22	2	0.63
10	23	2	0.63
10	24	2	0.63
10	25	2	0.63
10	26	2	0.63
10	27	2	0.63
10	28	2	0.63
10	29	2	0.63
10	30	2	0.63
10	31	2	0.63
11	1	2	0.63
11	2	2	0.63
11	3	2	0.63
11	4	2	0.63
11	5	2	0.63
11	6	2	0.63
11	7	2	0.63
11	8	2	0.63
11	9	2	0.63
11	10	2	0.63
11	11	2	0.63
11	12	2	0.63
11	13	2	0.63
11	14	2	0.63
11	15	2	0.63
11	16	2	1.26
11	17	2	1.26
11	18	2	1.26
11	19	2	1.26
11	20	2	1.26
11	21	2	1.26
11	22	2	1.26
11	23	2	1.26
11	24	2	1.26
11	25	2	1.26
11	26	2	1.26
11	27	2	1.26
11	28	2	1.26
11	29	2	1.26
11	30	2	1.26
11	31	2	1.26
7	1	3	0.45
7	2	3	0.45
7	3	3	0.45
7	4	3	0.45
7	5	3	0.45
7	6	3	0.45
7	7	3	0.45
7	8	3	0.45
7	9	3	0.45
7	10	3	0.45
7	11	3	0.45
7	12	3	0.45
7	13	3	0.45
7	14	3	0.45
7	15	3	0.45
7	16	3	0.45
7	17	3	0.45
7	18	3	0.45
7	19	3	0.45
7	20	3	0.45
7	21	3	0.45
7	22	3	0.45
7	23	3	0.45
7	24	3	0.45
7	25	3	0.45
7	26	3	0.45
7	27	3	0.45
7	28	3	0.45
7	29	3	0.45
7	30	3	0.45
8	1	3	0.45
8	2	3	0.45
8	3	3	0.45
8	4	3	0.45
8	5	3	0.45
8	6	3	0.45
8	7	3	0.45
8	8	3	0.45
8	9	3	0.45
8	10	3	0.45
8	11	3	0.45
8	12	3	0.45
8	13	3	0.45
8	14	3	0.45
8	15	3	0.45
8	16	3	0.45
8	17	3	0.45
8	18	3	0.45
8	19	3	0.45
8	20	3	0.45
8	21	3	0.45
8	22	3	0.45
8	23	3	0.45
8	24	3	0.45
8	25	3	0.45
8	26	3	0.45
8	27	3	0.45
8	28	3	0.45
8	29	3	0.45
8	30	3	0.45
8	31	3	0.45
9	1	3	0.45
9	2	3	0.45
9	3	3	0.45
9	4	3	0.45
9	5	3	0.45
9	6	3	0.45
9	7	3	0.45
9	8	3	0.45
9	9	3	0.45
9	10	3	0.45
9	11	3	0.45
9	12	3	0.45
9	13	3	0.45
9	14	3	0.45
9	15	3	0.45
9	16	3	0.45
9	17	3	0.45
9	18	3	0.45
9	19	3	0.45
9	20	3	0.45
9	21	3	1.14
9	22	3	1.14
9	23	3	1.14
9	24	3	1.14
9	25	3	1.14
9	26	3	1.14
9	27	3	1.14
9	28	3	1.14
9	29	3	1.14
9	30	3	1.14
10	1	3	1.14
10	2	3	1.14
10	3	3	1.14
10	4	3	1.14
10	5	3	1.14
10	6	3	1.14
10	7	3	1.14
10	8	3	1.14
10	9	3	1.14
10	10	3	1.14
10	11	3	1.14
10	12	3	1.14
10	13	3	1.14
10	14	3	1.14
10	15	3	1.14
10	16	3	1.14
10	17	3	1.14
10	18	3	1.14
10	19	3	1.14
10	20	3	1.14
10	21	3	1.14
10	22	3	1.14
10	23	3	1.14
10	24	3	1.14
10	25	3	1.14
10	26	3	1.14
10	27	3	1.14
10	28	3	1.14
10	29	3	1.14
10	30	3	1.14
10	31	3	1.14
11	1	3	1.14
11	2	3	1.14
11	3	3	1.14
11	4	3	1.14
11	5	3	1.14
11	6	3	1.14
11	7	3	1.14
11	8	3	1.14
11	9	3	1.14
11	10	3	1.14
11	11	3	1.14
11	12	3	1.14
11	13	3	1.14
11	14	3	1.14
11	15	3	1.14
11	16	3	2.28
11	17	3	2.28
11	18	3	2.28
11	19	3	2.28
11	20	3	2.28
11	21	3	2.28
11	22	3	2.28
11	23	3	2.28
11	24	3	2.28
11	25	3	2.28
11	26	3	2.28
11	27	3	2.28
11	28	3	2.28
11	29	3	2.28
11	30	3	2.28
11	31	3	2.28
7	1	4	0.45
7	2	4	0.45
7	3	4	0.45
7	4	4	0.45
7	5	4	0.45
7	6	4	0.45
7	7	4	0.45
7	8	4	0.45
7	9	4	0.45
7	10	4	0.45
7	11	4	0.45
7	12	4	0.45
7	13	4	0.45
7	14	4	0.45
7	15	4	0.45
7	16	4	0.45
7	17	4	0.45
7	18	4	0.45
7	19	4	0.45
7	20	4	0.45
7	21	4	0.45
7	22	4	0.45
7	23	4	0.45
7	24	4	0.45
7	25	4	0.45
7	26	4	0.45
7	27	4	0.45
7	28	4	0.45
7	29	4	0.45
7	30	4	0.45
8	1	4	0.45
8	2	4	0.45
8	3	4	0.45
8	4	4	0.45
8	5	4	0.45
8	6	4	0.45
8	7	4	0.45
8	8	4	0.45
8	9	4	0.45
8	10	4	0.45
8	11	4	0.45
8	12	4	0.45
8	13	4	0.45
8	14	4	0.45
8	15	4	0.45
8	16	4	0.45
8	17	4	0.45
8	18	4	0.45
8	19	4	0.45
8	20	4	0.45
8	21	4	0.45
8	22	4	0.45
8	23	4	0.45
8	24	4	0.45
8	25	4	0.45
8	26	4	0.45
8	27	4	0.45
8	28	4	0.45
8	29	4	0.45
8	30	4	0.45
8	31	4	0.45
9	1	4	0.45
9	2	4	0.45
9	3	4	0.45
9	4	4	0.45
9	5	4	0.45
9	6	4	0.45
9	7	4	0.45
9	8	4	0.45
9	9	4	0.45
9	10	4	0.45
9	11	4	0.45
9	12	4	0.45
9	13	4	0.45
9	14	4	0.45
9	15	4	0.45
9	16	4	1.67
9	17	4	1.67
9	18	4	1.67
9	19	4	1.67
9	20	4	1.67
9	21	4	1.67
9	22	4	1.67
9	23	4	1.67
9	24	4	1.67
9	25	4	1.67
9	26	4	1.67
9	27	4	1.67
9	28	4	1.67
9	29	4	1.67
9	30	4	1.67
10	1	4	1.67
10	2	4	1.67
10	3	4	1.67
10	4	4	1.67
10	5	4	1.67
10	6	4	1.67
10	7	4	1.67
10	8	4	1.67
10	9	4	1.67
10	10	4	1.67
10	11	4	1.67
10	12	4	1.67
10	13	4	1.67
10	14	4	1.67
10	15	4	1.67
10	16	4	1.67
10	17	4	1.67
10	18	4	1.67
10	19	4	1.67
10	20	4	1.67
10	21	4	1.67
10	22	4	1.67
10	23	4	1.67
10	24	4	1.67
10	25	4	1.67
10	26	4	1.67
10	27	4	1.67
10	28	4	1.67
10	29	4	1.67
10	30	4	1.67
10	31	4	1.67
11	1	4	1.67
11	2	4	1.67
11	3	4	1.67
11	4	4	1.67
11	5	4	1.67
11	6	4	1.67
11	7	4	1.67
11	8	4	1.67
11	9	4	1.67
11	10	4	1.67
11	11	4	1.67
11	12	4	1.67
11	13	4	1.67
11	14	4	1.67
11	15	4	1.67
11	16	4	3.34
11	17	4	3.34
11	18	4	3.34
