salinity_std_rsl                   !RW/RL 3/5/07 -- MI CL (mg/l) standard at Rock Slough(WQCP 5/95)
month     wyt      CLstandard1
1         1         250.0
2         1         250.0
3         1         250.0
4         1         150.0
5         1         150.0
6         1         150.0
7         1         150.0
8         1         150.0
9         1         150.0
10        1         150.0
11        1         150.0
12        1         250.0
1         2         250.0
2         2         250.0
3         2         250.0
4         2         250.0
5         2         150.0
6         2         150.0
7         2         150.0
8         2         150.0
9         2         150.0
10        2         150.0
11        2         150.0
12        2         250.0
1         3         250.0
2         3         250.0
3         3         250.0
4         3         250.0
5         3         150.0
6         3         150.0
7         3         150.0
8         3         150.0
9         3         150.0
10        3         150.0
11        3         250.0
12        3         250.0
1         4         250.0
2         4         250.0
3         4         250.0
4         4         172.0
5         4         138.0
6         4         150.0
7         4         150.0
8         4         150.0
9         4         150.0
10        4         150.0
11        4         250.0
12        4         250.0
1         5         250.0
2         5         250.0
3         5         250.0
4         5         172.0
5         5         150.0
6         5         150.0
7         5         150.0
8         5         150.0
9         5         150.0
10        5         172.0
11        5         250.0
12        5         250.0
