salinity_std_rsl_daily                   !NSO, 01/26/2022 -- MI CL (mg/l) standard at Rock Slough(WQCP 5/95)
month	wyt	CLstandard1
1	1	250
2	1	250
3	1	250
4	1	150
5	1	150
6	1	150
7	1	150
8	1	150
9	1	150
10	1	150
11	1	150
12	1	250
1	2	250
2	2	250
3	2	250
4	2	250
5	2	150
6	2	150
7	2	150
8	2	150
9	2	150
10	2	150
11	2	150
12	2	250
1	3	250
2	3	250
3	3	250
4	3	250
5	3	150
6	3	150
7	3	150
8	3	150
9	3	150
10	3	150
11	3	250
12	3	250
1	4	250
2	4	250
3	4	250
4	4	216.67
5	4	183.33
6	4	150
7	4	150
8	4	150
9	4	150
10	4	150
11	4	250
12	4	250
1	5	250
2	5	250
3	5	250
4	5	200
5	5	150
6	5	150
7	5	150
8	5	150
9	5	150
10	5	200
11	5	250
12	5	250
