wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4287.86177956
1000.0        4287.86177956
1500.0        4287.86177956
2000.0        4287.86177956
2500.0        4287.86177956
3000.0        4287.86177956
3500.0        4287.86177956
4000.0        4287.86177956
4500.0        4287.86177956
5000.0        4287.86177956
5500.0        4340.62005321
6000.0        4340.62005321
6500.0        5090.89255015
7000.0        6003.14487784
7500.0        6318.13512205
8000.0        6873.02999458
8500.0        7645.33569147
9000.0        8275.05524546
9500.0        8787.55573263
10000.0        9691.15256617
10500.0        10382.2623951
11000.0        11135.8338935
11500.0        11493.2081694
12000.0        11750.2124835
12500.0        11839.0479226
13000.0        11928.7020261
13500.0        12137.818235
14000.0        12137.818235
14500.0        12137.818235
15000.0        12137.818235
15500.0        12137.818235
16000.0        12137.818235
16500.0        12137.818235
17000.0        12137.818235
17500.0        12137.818235
18000.0        12137.818235
18500.0        12137.818235
19000.0        12137.818235
19500.0        12137.818235
20000.0        12137.818235
