wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1400.91842851
1000.0        1400.91842851
1500.0        1400.91842851
2000.0        1400.91842851
2500.0        1717.35544177
3000.0        2321.99729667
3500.0        2953.31447128
4000.0        3678.66503531
4500.0        4585.48441932
5000.0        5345.36722908
5500.0        5955.53362503
6000.0        7002.62372793
6500.0        7504.00560037
7000.0        7953.08247369
7500.0        8062.40792452
8000.0        8062.40792452
8500.0        8062.40792452
9000.0        8062.40792452
9500.0        8062.40792452
10000.0        8062.40792452
10500.0        8062.40792452
11000.0        8062.40792452
11500.0        8062.40792452
12000.0        8062.40792452
12500.0        8062.40792452
13000.0        8062.40792452
13500.0        8062.40792452
14000.0        8062.40792452
14500.0        8062.40792452
15000.0        8062.40792452
15500.0        8062.40792452
16000.0        8062.40792452
16500.0        8062.40792452
17000.0        8062.40792452
17500.0        8062.40792452
18000.0        8062.40792452
18500.0        8062.40792452
19000.0        8062.40792452
19500.0        8062.40792452
20000.0        8062.40792452
